experiment	experiment_id	condition	condition_id	item_id	text	question	response_true	response_false
filler	3		0	29	Mama erzählt, dass Helena jetzt im Supermarkt arbeitet. Dort muss sie auch am Wochenende arbeiten, sagt Mama zu Papa. An Weihnachten hat sie aber frei.	Muss Helena an Weihnachten im Supermarkt arbeiten?	nein	ja
filler	3		0	29	Mama erzählt, dass Helena jetzt im Supermarkt arbeitet. Dort muss sie auch am Wochenende arbeiten, sagt Mama zu Papa. An Weihnachten hat sie aber frei.	Muss Helena an Weihnachten im Supermarkt arbeiten?	nein	ja
filler	3		0	29	Mama erzählt, dass Helena jetzt im Supermarkt arbeitet. Dort muss sie auch am Wochenende arbeiten, sagt Mama zu Papa. An Weihnachten hat sie aber frei.	Muss Helena an Weihnachten im Supermarkt arbeiten?	nein	ja
filler	3		0	29	Mama erzählt, dass Helena jetzt im Supermarkt arbeitet. Dort muss sie auch am Wochenende arbeiten, sagt Mama zu Papa. An Weihnachten hat sie aber frei.	Muss Helena an Weihnachten im Supermarkt arbeiten?	nein	ja
filler	3		0	30	Mama erzählt, dass der neue Kiosk eröffnet wurde. Dort kann man sogar Schokomuffins kaufen, sagt Mama zu Sara. Die sind allerdings ziemlich teuer.	Kosten die Schokomuffins viel?	ja	nein
filler	3		0	30	Mama erzählt, dass der neue Kiosk eröffnet wurde. Dort kann man sogar Schokomuffins kaufen, sagt Mama zu Sara. Die sind allerdings ziemlich teuer.	Kosten die Schokomuffins viel?	ja	nein
filler	3		0	30	Mama erzählt, dass der neue Kiosk eröffnet wurde. Dort kann man sogar Schokomuffins kaufen, sagt Mama zu Sara. Die sind allerdings ziemlich teuer.	Kosten die Schokomuffins viel?	ja	nein
filler	3		0	30	Mama erzählt, dass der neue Kiosk eröffnet wurde. Dort kann man sogar Schokomuffins kaufen, sagt Mama zu Sara. Die sind allerdings ziemlich teuer.	Kosten die Schokomuffins viel?	ja	nein
filler	3		0	31	Papa erzählt, dass Noah heute sein Motorrad repariert. Das Licht ist kaputt, sagt Papa zu Opa. Das Motorrad ist auch schon ziemlich alt.	Ist die Bremse vom Motorrad kaputt?	nein	ja
filler	3		0	31	Papa erzählt, dass Noah heute sein Motorrad repariert. Das Licht ist kaputt, sagt Papa zu Opa. Das Motorrad ist auch schon ziemlich alt.	Ist die Bremse vom Motorrad kaputt?	nein	ja
filler	3		0	31	Papa erzählt, dass Noah heute sein Motorrad repariert. Das Licht ist kaputt, sagt Papa zu Opa. Das Motorrad ist auch schon ziemlich alt.	Ist die Bremse vom Motorrad kaputt?	nein	ja
filler	3		0	31	Papa erzählt, dass Noah heute sein Motorrad repariert. Das Licht ist kaputt, sagt Papa zu Opa. Das Motorrad ist auch schon ziemlich alt.	Ist die Bremse vom Motorrad kaputt?	nein	ja
filler	3		0	32	Papa erzählt, dass Theos Fahrrad weg ist. Theo hat es heute Morgen erst gemerkt, sagt Papa zu Oma. In letzter Zeit werden viele Fahrräder geklaut.	Haben Diebe Theos Fahrrad mitgenommen?	ja	nein
filler	3		0	32	Papa erzählt, dass Theos Fahrrad weg ist. Theo hat es heute Morgen erst gemerkt, sagt Papa zu Oma. In letzter Zeit werden viele Fahrräder geklaut.	Haben Diebe Theos Fahrrad mitgenommen?	ja	nein
filler	3		0	32	Papa erzählt, dass Theos Fahrrad weg ist. Theo hat es heute Morgen erst gemerkt, sagt Papa zu Oma. In letzter Zeit werden viele Fahrräder geklaut.	Haben Diebe Theos Fahrrad mitgenommen?	ja	nein
filler	3		0	32	Papa erzählt, dass Theos Fahrrad weg ist. Theo hat es heute Morgen erst gemerkt, sagt Papa zu Oma. In letzter Zeit werden viele Fahrräder geklaut.	Haben Diebe Theos Fahrrad mitgenommen?	ja	nein
filler	3		0	33	Sara erzählt, dass Josh auf dem Flohmarkt war. Er wollte sein Skateboard verkaufen, sagt Sara zu Opa. Er wollte zwanzig Euro dafür haben.	Braucht Josh sein Skateboard noch?	nein	ja
filler	3		0	33	Sara erzählt, dass Josh auf dem Flohmarkt war. Er wollte sein Skateboard verkaufen, sagt Sara zu Opa. Er wollte zwanzig Euro dafür haben.	Braucht Josh sein Skateboard noch?	nein	ja
filler	3		0	33	Sara erzählt, dass Josh auf dem Flohmarkt war. Er wollte sein Skateboard verkaufen, sagt Sara zu Opa. Er wollte zwanzig Euro dafür haben.	Braucht Josh sein Skateboard noch?	nein	ja
filler	3		0	33	Sara erzählt, dass Josh auf dem Flohmarkt war. Er wollte sein Skateboard verkaufen, sagt Sara zu Opa. Er wollte zwanzig Euro dafür haben.	Braucht Josh sein Skateboard noch?	nein	ja
filler	3		0	34	Sara erzählt, dass Pedro mit Ella im Kino war. Pedro wollte sie schon ganz lange einladen, sagt Sara zu Lina. Ella hat sich sehr gefreut.	Waren Ella und Pedro im Kino?	ja	nein
filler	3		0	34	Sara erzählt, dass Pedro mit Ella im Kino war. Pedro wollte sie schon ganz lange einladen, sagt Sara zu Lina. Ella hat sich sehr gefreut.	Waren Ella und Pedro im Kino?	ja	nein
filler	3		0	34	Sara erzählt, dass Pedro mit Ella im Kino war. Pedro wollte sie schon ganz lange einladen, sagt Sara zu Lina. Ella hat sich sehr gefreut.	Waren Ella und Pedro im Kino?	ja	nein
filler	3		0	34	Sara erzählt, dass Pedro mit Ella im Kino war. Pedro wollte sie schon ganz lange einladen, sagt Sara zu Lina. Ella hat sich sehr gefreut.	Waren Ella und Pedro im Kino?	ja	nein
filler	3		0	35	Lina erzählt, dass ein Reporter in der Schule war. Er wollte ein Interview mit dem Direktor machen, sagt Lina zu Sara. Der Direktor war bestimmt nervös.	Wollte der Reporter die Schüler befragen?	nein	ja
filler	3		0	35	Lina erzählt, dass ein Reporter in der Schule war. Er wollte ein Interview mit dem Direktor machen, sagt Lina zu Sara. Der Direktor war bestimmt nervös.	Wollte der Reporter die Schüler befragen?	nein	ja
filler	3		0	35	Lina erzählt, dass ein Reporter in der Schule war. Er wollte ein Interview mit dem Direktor machen, sagt Lina zu Sara. Der Direktor war bestimmt nervös.	Wollte der Reporter die Schüler befragen?	nein	ja
filler	3		0	35	Lina erzählt, dass ein Reporter in der Schule war. Er wollte ein Interview mit dem Direktor machen, sagt Lina zu Sara. Der Direktor war bestimmt nervös.	Wollte der Reporter die Schüler befragen?	nein	ja
filler	3		0	36	Lina erzählt, dass jemand seinen Hund sucht. Überall hängen Zettel, sagt Lina zu Milan. Bestimmt hat der Hund sich verlaufen.	Möchte der Besitzer den Hund wieder haben?	ja	nein
filler	3		0	36	Lina erzählt, dass jemand seinen Hund sucht. Überall hängen Zettel, sagt Lina zu Milan. Bestimmt hat der Hund sich verlaufen.	Möchte der Besitzer den Hund wieder haben?	ja	nein
filler	3		0	36	Lina erzählt, dass jemand seinen Hund sucht. Überall hängen Zettel, sagt Lina zu Milan. Bestimmt hat der Hund sich verlaufen.	Möchte der Besitzer den Hund wieder haben?	ja	nein
filler	3		0	36	Lina erzählt, dass jemand seinen Hund sucht. Überall hängen Zettel, sagt Lina zu Milan. Bestimmt hat der Hund sich verlaufen.	Möchte der Besitzer den Hund wieder haben?	ja	nein
negation	1	aff_intrans	1	1	Opa erzählt, dass es gestern einen Sturm gab. Das Haus ist beschädigt, sagt Opa zu Oma. Der Gartenzaun ist umgefallen.	Muss das Haus repariert werden?	ja	nein
negation	1	aff_trans	2	1	Opa erzählt, dass es gestern einen Sturm gab. Das Haus hat einen Schaden, sagt Opa zu Oma. Der Gartenzaun ist umgefallen.	Muss das Haus repariert werden?	ja	nein
negation	1	neg_NP	3	1	Opa erzählt, dass es gestern einen Sturm gab. Das Haus hat keinen Schaden, sagt Opa zu Oma. Der Gartenzaun ist umgefallen.	Muss das Haus repariert werden?	nein	ja
negation	1	neg_VP	4	1	Opa erzählt, dass es gestern einen Sturm gab. Das Haus ist nicht beschädigt, sagt Opa zu Oma. Der Gartenzaun ist umgefallen.	Muss das Haus repariert werden?	nein	ja
negation	1	aff_intrans	1	2	Opa erzählt, dass Emir und die anderen Schüler auf den Bus warten. Emir ist geduldig, sagt Opa zu Mama. Er spielt auf seinem Handy, während er wartet.	Wartet Emir gerne?	ja	nein
negation	1	aff_trans	2	2	Opa erzählt, dass Emir und die anderen Schüler auf den Bus warten. Emir hat Geduld, sagt Opa zu Mama. Er spielt auf seinem Handy, während er wartet.	Wartet Emir gerne?	ja	nein
negation	1	neg_NP	3	2	Opa erzählt, dass Emir und die anderen Schüler auf den Bus warten. Emir hat keine Geduld, sagt Opa zu Mama. Er spielt auf seinem Handy, während er wartet.	Wartet Emir gerne?	nein	ja
negation	1	neg_VP	4	2	Opa erzählt, dass Emir und die anderen Schüler auf den Bus warten. Emir ist nicht geduldig, sagt Opa zu Mama. Er spielt auf seinem Handy, während er wartet.	Wartet Emir gerne?	nein	ja
negation	1	aff_intrans	1	3	Opa erzählt, dass Nehir und Selma jetzt Geigenstunden nehmen. Nehir ist begabt, sagt Opa zu Papa. Die beiden üben jeden Mittwoch in der Musikschule.	Ist Nehir musikalisch?	ja	nein
negation	1	aff_trans	2	3	Opa erzählt, dass Nehir und Selma jetzt Geigenstunden nehmen. Nehir hat eine Begabung, sagt Opa zu Papa. Die beiden üben jeden Mittwoch in der Musikschule.	Ist Nehir musikalisch?	ja	nein
negation	1	neg_NP	3	3	Opa erzählt, dass Nehir und Selma jetzt Geigenstunden nehmen. Nehir hat keine Begabung, sagt Opa zu Papa. Die beiden üben jeden Mittwoch in der Musikschule.	Ist Nehir musikalisch?	nein	ja
negation	1	neg_VP	4	3	Opa erzählt, dass Nehir und Selma jetzt Geigenstunden nehmen. Nehir ist nicht begabt, sagt Opa zu Papa. Die beiden üben jeden Mittwoch in der Musikschule.	Ist Nehir musikalisch?	nein	ja
negation	1	aff_intrans	1	4	Opa erzählt, dass vor der Haustür ein Paket liegt. Das Paket ist beschriftet, sagt Opa zu Sara. Es ist sehr schwer.	Liegt vor der Haustür ein beschriftetes Paket?	ja	nein
negation	1	aff_trans	2	4	Opa erzählt, dass vor der Haustür ein Paket liegt. Das Paket hat eine Beschriftung, sagt Opa zu Sara. Es ist sehr schwer.	Liegt vor der Haustür ein beschriftetes Paket?	ja	nein
negation	1	neg_NP	3	4	Opa erzählt, dass vor der Haustür ein Paket liegt. Das Paket hat keine Beschriftung, sagt Opa zu Sara. Es ist sehr schwer.	Liegt vor der Haustür ein beschriftetes Paket?	nein	ja
negation	1	neg_VP	4	4	Opa erzählt, dass vor der Haustür ein Paket liegt. Das Paket ist nicht beschriftetet, sagt Opa zu Sara. Es ist sehr schwer.	Liegt vor der Haustür ein beschriftetes Paket?	nein	ja
negation	1	aff_intrans	1	5	Oma erzählt, dass vor dem Museum ein Soldat steht. Der Soldat ist bewaffnet, sagt Oma zu Lina. Seine Schicht beginnt immer morgens um 8 Uhr.	Kann der Soldat auf jemanden schießen?	ja	nein
negation	1	aff_trans	2	5	Oma erzählt, dass vor dem Museum ein Soldat steht. Der Soldat hat eine Waffe, sagt Oma zu Lina. Seine Schicht beginnt immer morgens um 8 Uhr.	Kann der Soldat auf jemanden schießen?	ja	nein
negation	1	neg_NP	3	5	Oma erzählt, dass vor dem Museum ein Soldat steht. Der Soldat hat keine Waffe, sagt Oma zu Lina. Seine Schicht beginnt immer morgens um 8 Uhr.	Kann der Soldat auf jemanden schießen?	nein	ja
negation	1	neg_VP	4	5	Oma erzählt, dass vor dem Museum ein Soldat steht. Der Soldat ist nicht bewaffnet, sagt Oma zu Lina. Seine Schicht beginnt immer morgens um 8 Uhr.	Kann der Soldat auf jemanden schießen?	nein	ja
negation	1	aff_intrans	1	6	Oma erzählt, dass es einen Unfall auf dem Radweg gab. Der Radfahrer ist verletzt, sagt Oma zu Mama. Die Leute fahren an dieser Stelle immer viel zu schnell.	Muss der Radfahrer ins Krankenhaus?	ja	nein
negation	1	aff_trans	2	6	Oma erzählt, dass es einen Unfall auf dem Radweg gab. Der Radfahrer hat eine Verletzung, sagt Oma zu Mama. Die Leute fahren an dieser Stelle immer viel zu schnell.	Muss der Radfahrer ins Krankenhaus?	ja	nein
negation	1	neg_NP	3	6	Oma erzählt, dass es einen Unfall auf dem Radweg gab. Der Radfahrer hat keine Verletzung, sagt Oma zu Mama. Die Leute fahren an dieser Stelle immer viel zu schnell.	Muss der Radfahrer ins Krankenhaus?	nein	ja
negation	1	neg_VP	4	6	Oma erzählt, dass es einen Unfall auf dem Radweg gab. Der Radfahrer ist nicht verletzt, sagt Oma zu Mama. Die Leute fahren an dieser Stelle immer viel zu schnell.	Muss der Radfahrer ins Krankenhaus?	nein	ja
negation	1	aff_intrans	1	7	Oma erzählt, dass die Stadt ein schäbiges Haus abreißen will. Das Haus ist bewohnt, sagt Oma zu Papa. Die Stadt will dort einen Spielplatz hinbauen.	Steht das Haus leer?	ja	nein
negation	1	aff_trans	2	7	Oma erzählt, dass die Stadt ein schäbiges Haus abreißen will. Das Haus hat einen Bewohner, sagt Oma zu Papa. Die Stadt will dort einen Spielplatz hinbauen.	Steht das Haus leer?	ja	nein
negation	1	neg_NP	3	7	Oma erzählt, dass die Stadt ein schäbiges Haus abreißen will. Das Haus hat keine Bewohner, sagt Oma zu Papa. Die Stadt will dort einen Spielplatz hinbauen.	Steht das Haus leer?	nein	ja
negation	1	neg_VP	4	7	Oma erzählt, dass die Stadt ein schäbiges Haus abreißen will. Das Haus ist nicht bewohnt, sagt Oma zu Papa. Die Stadt will dort einen Spielplatz hinbauen.	Steht das Haus leer?	nein	ja
negation	1	aff_intrans	1	8	Oma erzählt, dass Enno und Felix im Tattoo-Studio waren. Enno ist tätowiert, sagt Oma zu Opa. Felix möchte sich tätowieren lassen.	Hat Enno ein Tattoo?	ja	nein
negation	1	aff_trans	2	8	Oma erzählt, dass Enno und Felix im Tattoo-Studio waren. Enno hat ein Tattoo, sagt Oma zu Opa. Felix möchte sich tätowieren lassen.	Hat Enno ein Tattoo?	ja	nein
negation	1	neg_NP	3	8	Oma erzählt, dass Enno und Felix im Tattoo-Studio waren. Enno hat kein Tattoo, sagt Oma zu Opa. Felix möchte sich tätowieren lassen.	Hat Enno ein Tattoo?	nein	ja
negation	1	neg_VP	4	8	Oma erzählt, dass Enno und Felix im Tattoo-Studio waren. Enno ist nicht tätowiert, sagt Oma zu Opa. Felix möchte sich tätowieren lassen.	Hat Enno ein Tattoo?	nein	ja
negation	1	aff_intrans	1	9	Mama erzählt, dass Ben und Theo im Fußballverein angefangen haben. Ben ist talentiert, sagt Mama zu Opa. Das Training findet immer dienstags statt.	Kann Ben gut Fußball spielen?	ja	nein
negation	1	aff_trans	2	9	Mama erzählt, dass Ben und Theo im Fußballverein angefangen haben. Ben hat ein Talent, sagt Mama zu Opa. Das Training findet immer dienstags statt.	Kann Ben gut Fußball spielen?	ja	nein
negation	1	neg_NP	3	9	Mama erzählt, dass Ben und Theo im Fußballverein angefangen haben. Ben hat kein Talent, sagt Mama zu Opa. Das Training findet immer dienstags statt.	Kann Ben gut Fußball spielen?	nein	ja
negation	1	neg_VP	4	9	Mama erzählt, dass Ben und Theo im Fußballverein angefangen haben. Ben ist nicht talentiert, sagt Mama zu Opa. Das Training findet immer dienstags statt.	Kann Ben gut Fußball spielen?	nein	ja
negation	1	aff_intrans	1	10	Mama erzählt, dass es inzwischen schon früh dunkel wird. Die Straße ist beleuchtet, sagt Mama zu Oma. Autofahren im Dunkeln ist gefährlich.	Ist es auf der Straße dunkel?	nein	ja
negation	1	aff_trans	2	10	Mama erzählt, dass es inzwischen schon früh dunkel wird. Die Straße hat eine Beleuchtung, sagt Mama zu Oma. Autofahren im Dunkeln ist gefährlich.	Ist es auf der Straße dunkel?	nein	ja
negation	1	neg_NP	3	10	Mama erzählt, dass es inzwischen schon früh dunkel wird. Die Straße hat keine Beleuchtung, sagt Mama zu Oma. Autofahren im Dunkeln ist gefährlich.	Ist es auf der Straße dunkel?	ja	nein
negation	1	neg_VP	4	10	Mama erzählt, dass es inzwischen schon früh dunkel wird. Die Straße ist nicht beleuchtet, sagt Mama zu Oma. Autofahren im Dunkeln ist gefährlich.	Ist es auf der Straße dunkel?	ja	nein
negation	1	aff_intrans	1	11	Mama erzählt, dass Jan der Job gekündigt wurde. Die Kündigung ist begründet, sagt Mama zu Milan. Jan muss sich jetzt einen neuen Job suchen.	Weiß Jan, warum er entlassen wurde?	ja	nein
negation	1	aff_trans	2	11	Mama erzählt, dass Jan der Job gekündigt wurde. Die Kündigung hat eine Begründung, sagt Mama zu Milan. Jan muss sich jetzt einen neuen Job suchen.	Weiß Jan, warum er entlassen wurde?	ja	nein
negation	1	neg_NP	3	11	Mama erzählt, dass Jan der Job gekündigt wurde. Die Kündigung hat keine Begründung, sagt Mama zu Milan. Jan muss sich jetzt einen neuen Job suchen.	Weiß Jan, warum er entlassen wurde?	nein	ja
negation	1	neg_VP	4	11	Mama erzählt, dass Jan der Job gekündigt wurde. Die Kündigung ist nicht begründet, sagt Mama zu Milan. Jan muss sich jetzt einen neuen Job suchen.	Weiß Jan, warum er entlassen wurde?	nein	ja
negation	1	aff_intrans	1	12	Mama erzählt, dass Azar im Winter in eine neue Wohnung gezogen ist. Die Wohnung ist beheizt, sagt Mama zu Lina. Zu der Wohnung gehört auch ein Parkplatz.	Ist es in der Wohnung im Winter kalt?	nein	ja
negation	1	aff_trans	2	12	Mama erzählt, dass Azar im Winter in eine neue Wohnung gezogen ist. Die Wohnung hat eine Heizung, sagt Mama zu Lina. Zu der Wohnung gehört auch ein Parkplatz.	Ist es in der Wohnung im Winter kalt?	nein	ja
negation	1	neg_NP	3	12	Mama erzählt, dass Azar im Winter in eine neue Wohnung gezogen ist. Die Wohnung hat keine Heizung, sagt Mama zu Lina. Zu der Wohnung gehört auch ein Parkplatz.	Ist es in der Wohnung im Winter kalt?	ja	nein
negation	1	neg_VP	4	12	Mama erzählt, dass Azar im Winter in eine neue Wohnung gezogen ist. Die Wohnung ist nicht beheizt, sagt Mama zu Lina. Zu der Wohnung gehört auch ein Parkplatz.	Ist es in der Wohnung im Winter kalt?	ja	nein
negation	1	aff_intrans	1	13	Papa erzählt, dass Hannes sein Auto gegen einen Baum gefahren hat. Hannes ist versichert, sagt Papa zu Mama. Ihm ist zum Glück nichts passiert.	Bezahlt die Versicherung den Schaden?	ja	nein
negation	1	aff_trans	2	13	Papa erzählt, dass Hannes sein Auto gegen einen Baum gefahren hat. Hannes hat eine Versicherung, sagt Papa zu Mama. Ihm ist zum Glück nichts passiert.	Bezahlt die Versicherung den Schaden?	ja	nein
negation	1	neg_NP	3	13	Papa erzählt, dass Hannes sein Auto gegen einen Baum gefahren hat. Hannes hat keine Versicherung, sagt Papa zu Mama. Ihm ist zum Glück nichts passiert.	Bezahlt die Versicherung den Schaden?	nein	ja
negation	1	neg_VP	4	13	Papa erzählt, dass Hannes sein Auto gegen einen Baum gefahren hat. Hannes ist nicht versichert, sagt Papa zu Mama. Ihm ist zum Glück nichts passiert.	Bezahlt die Versicherung den Schaden?	nein	ja
negation	1	aff_intrans	1	14	Papa erzählt, dass Yusuf sich ein gebrauchtes Handy gekauft hat. Das Handy ist verkratzt, sagt Papa zu Sara. Yusuf braucht jetzt noch ein passendes Ladekabel.	Ist das Display des Handys beschädigt?	ja	nein
negation	1	aff_trans	2	14	Papa erzählt, dass Yusuf sich ein gebrauchtes Handy gekauft hat. Das Handy hat einen Kratzer, sagt Papa zu Sara. Yusuf braucht jetzt noch ein passendes Ladekabel.	Ist das Display des Handys beschädigt?	ja	nein
negation	1	neg_NP	3	14	Papa erzählt, dass Yusuf sich ein gebrauchtes Handy gekauft hat. Das Handy hat keine Kratzer, sagt Papa zu Sara. Yusuf braucht jetzt noch ein passendes Ladekabel.	Ist das Display des Handys beschädigt?	nein	ja
negation	1	neg_VP	4	14	Papa erzählt, dass Yusuf sich ein gebrauchtes Handy gekauft hat. Das Handy ist nicht verkratzt, sagt Papa zu Sara. Yusuf braucht jetzt noch ein passendes Ladekabel.	Ist das Display des Handys beschädigt?	nein	ja
negation	1	aff_intrans	1	15	Papa erzählt, dass Julia schon seit Wochen ein Medikament nimmt. Das Medikament ist wirksam, sagt Papa zu Milan. Nächste Woche hat Julia wieder einen Arzttermin.	Ist Julia so noch krank wie zuvor?	nein	ja
negation	1	aff_trans	2	15	Papa erzählt, dass Julia schon seit Wochen ein Medikament nimmt. Das Medikament hat eine Wirkung, sagt Papa zu Milan. Nächste Woche hat Julia wieder einen Arzttermin.	Ist Julia noch so krank wie zuvor?	nein	ja
negation	1	neg_NP	3	15	Papa erzählt, dass Julia schon seit Wochen ein Medikament nimmt. Das Medikament hat keine Wirkung, sagt Papa zu Milan. Nächste Woche hat Julia wieder einen Arzttermin.	Ist Julia noch so krank wie zuvor?	ja	nein
negation	1	neg_VP	4	15	Papa erzählt, dass Julia schon seit Wochen ein Medikament nimmt. Das Medikament ist nicht wirksam, sagt Papa zu Milan. Nächste Woche hat Julia wieder einen Arzttermin.	Ist Julia noch so krank wie zuvor?	ja	nein
negation	1	aff_intrans	1	16	Papa erzählt, dass die neue Straße jetzt einen Mittelstreifen hat. Der Mittelstreifen ist begrünt, sagt Papa zu Lina. Die neue Straße wird am Montag eröffnet.	Gibt es Pflanzen auf dem Mittelstreifen?	ja	nein
negation	1	aff_trans	2	16	Papa erzählt, dass die neue Straße jetzt einen Mittelstreifen hat. Der Mittelstreifen hat eine Begrünung, sagt Papa zu Lina. Die neue Straße wird am Montag eröffnet.	Gibt es Pflanzen auf dem Mittelstreifen?	ja	nein
negation	1	neg_NP	3	16	Papa erzählt, dass die neue Straße jetzt einen Mittelstreifen hat. Der Mittelstreifen hat keine Begrünung, sagt Papa zu Lina. Die neue Straße wird am Montag eröffnet.	Gibt es Pflanzen auf dem Mittelstreifen?	nein	ja
negation	1	neg_VP	4	16	Papa erzählt, dass die neue Straße jetzt einen Mittelstreifen hat. Der Mittelstreifen ist nicht begrünt, sagt Papa zu Lina. Die neue Straße wird am Montag eröffnet.	Gibt es Pflanzen auf dem Mittelstreifen?	nein	ja
negation	1	aff_intrans	1	17	Sara erzählt, dass Nele die Seite mit der Matheaufgabe sucht. Diese Seite ist nummeriert, sagt Sara zu Oma. Nele hasst Mathe.	Fehlt die Seitenzahl?	nein	ja
negation	1	aff_trans	2	17	Sara erzählt, dass Nele die Seite mit der Matheaufgabe sucht. Diese Seite hat eine Nummer, sagt Sara zu Oma. Nele hasst Mathe.	Fehlt die Seitenzahl?	nein	ja
negation	1	neg_NP	3	17	Sara erzählt, dass Nele die Seite mit der Matheaufgabe sucht. Diese Seite hat keine Nummer, sagt Sara zu Oma. Nele hasst Mathe.	Fehlt die Seitenzahl?	ja	nein
negation	1	neg_VP	4	17	Sara erzählt, dass Nele die Seite mit der Matheaufgabe sucht. Diese Seite ist nicht nummeriert, sagt Sara zu Oma. Nele hasst Mathe.	Fehlt die Seitenzahl?	ja	nein
negation	1	aff_intrans	1	18	Sara erzählt, dass Sergej sich ein Boot gekauft hat. Das Boot ist motorisiert, sagt Sara zu Papa. Sergej will nächsten Sonntag angeln gehen.	Muss Sergej sein Boot manchmal tanken?	ja	nein
negation	1	aff_trans	2	18	Sara erzählt, dass Sergej sich ein Boot gekauft hat. Das Boot hat einen Motor, sagt Sara zu Papa. Sergej will nächsten Sonntag angeln gehen.	Muss Sergej sein Boot manchmal tanken?	ja	nein
negation	1	neg_NP	3	18	Sara erzählt, dass Sergej sich ein Boot gekauft hat. Das Boot hat keinen Motor, sagt Sara zu Papa. Sergej will nächsten Sonntag angeln gehen.	Muss Sergej sein Boot manchmal tanken?	nein	ja
negation	1	neg_VP	4	18	Sara erzählt, dass Sergej sich ein Boot gekauft hat. Das Boot ist nicht motorisiert, sagt Sara zu Papa. Sergej will nächsten Sonntag angeln gehen.	Muss Sergej sein Boot manchmal tanken?	nein	ja
